# WSCAD Universe'den indirilecek part numaralari
# Kaynak: ureticilerin KENDI katalog PDF'leri -- hicbiri uydurma not
# 3D (.stp) modeli olmayanlar WSCAD'da inmez; inen bozuk dosyalari audit_batch.py eler

### PHOENIX CONTACT -- 807 count (elimizde OLMAYANLAR; UT/UK vidali agirlikli)
3000117	
3000159	
3000162	
3000175	
3000417	
3000585	
3000625	
3000638	
3000641	
3000722	
3000735	
3001132	
3001226	
3001239	
3001591	
3001592	
3001593	
3001594	
3001595	
3001596	
3001597	
3001599	
3001624	
3001763	UKH 50 57 A 3001763
3001776	
3001789	
3002665	
3002678	
3002681	
3002843	
3002856	
3002869	
3002885	
3002898	
3002979	
3002982	
3003020	
3003046	UK 3003046 10
3003062	UK 3003062 10
3003101	
3003224	UK 3003224 50
3003541	UKH 50 57 A 3001763
3003554	UKH 150/240 57 A 30
3003871	
3003910	UKN 10 N BU 3003910
3004207	
3004210	
3005947	
3005948	
3005950	
3005963	
3006137	UK 35 101 A 020509
3009228	
3009231	
3009244	UKH 150/240 EP 3009
3009299	
3009341	
3009354	
3009367	
3012011	
3014019	
3024041	UKN 10 N BU 3003910
3025163	
3025176	
3025189	
3025309	
3025338	
3025341	
3025406	
3025529	
3025545	
3025888	
3026340	URTK 6 3026340 10 D-
3026366	
3026379	
3026382	
3026395	
3026405	URTK 6 YE 3026405 10
3026418	URTK 6 GN 3026418 10
3026421	URTK 6 VT 3026421 10
3026434	URTK 6 BU 3026434 10
3026447	URTK 6 BK 3026447 10
3026450	URTK 6 FARBLOS 30264
3026463	
3026476	
3026489	
3026492	
3026612	URTK 6 GY 3026612 10
3026719	URTK 6 RD 3026719 10
3026861	
3026874	
3026887	
3026890	
3026900	
3026971	URTK 6 BN 3026971 10
3026997	
3027006	
3029994	
3030116	
3030129	
3030132	
3030145	
3030158	
3030161	
3030174	
3030187	
3030190	
3030213	
3030226	
3030242	
3030255	
3030271	
3030284	
3030297	
3030307	
3030310	
3030323	
3030336	
3030349	
3030352	
3030365	
3030417	
3030420	
3030433	
3030459	
3030462	
3030488	
3030491	
3030512	
3030513	
3030514	
3030527	
3030721	
3030747	
3030789	
3030815	
3030900	
3030941	
3030970	
3030983	
3030996	
3031005	
3031034	
3031704	
3031762	
3032004	
3032017	
3032088	
3032169	
3032170	
3032185	
3032363	
3032376	
3032389	
3032402	
3032428	
3032729	
3032732	
3032745	
3032758	
3032761	
3032774	
3032787	
3032790	
3032800	
3032855	
3032868	
3032871	
3033016	
3033029	
3033032	
3033045	
3033058	
3033061	
3033074	
3033126	
3033139	
3033142	
3033197	
3033210	
3033702	
3033710	
3033715	
3033716	
3033808	
3033809	
3033816	
3034387	
3034390	
3034426	
3034439	
3034442	
3034455	
3034468	
3034484	
3034824	
3034895	
3034947	
3035098	
3035315	
3035357	
3035548	
3035688	
3035690	
3035755	
3035756	
3035757	
3035758	
3035759	
3035760	
3035974	
3035975	
3035976	
3035977	
3035978	
3035979	
3035980	
3035981	
3035982	
3036550	
3036563	
3036602	
3036644	
3036657	
3036660	
3036673	
3036712	
3036725	
3036738	
3036741	
3036767	
3036770	
3036783	
3036796	
3036806	
3036819	
3036822	
3036835	
3037669	
3038189	
3038202	
3038299	
3038309	
3038503	
3038558	
3038590	
3038723	
3038736	
3038749	
3038956	
3040559	
3040588	
3040614	
3040627	
3040630	
3040889	
3045266	
3045279	
3045282	
3045295	
3045554	
3045567	
3045570	
3045800	
3045813	
3045826	
3045839	
3045842	
3045855	
3045868	
3045871	
3045884	
3045897	
3045907	
3045910	
3045923	
3045936	
3045949	
3046140	UT 4-PE/MT P/P 304
3046168	UT 2,5-TG-P/P 3046
3046171	UT 2,5-MT-P/P 3046
3046235	UT 4-PE/L-DIO/R-L
3046252	UT 4-HEDI-P/P 3046
3046265	UT 2,5-MT P/P BU 3
3046272	
3046375	UT 2,5-MT-P/P 3046
3046391	UT 2,5-TG-P/P 3046
3046498	
3046566	UT 2,5-MT P/P BU 3
3046582	UT 2,5-TG-P/P BU 3
3046605	UT 4-TWIN-TG P/P 3
3046773	UTTB 4-MT P/P LA 24
3046834	UT 4-PE/L-DIO/L-R
3047028	UT 2,5/10 3047028
3047060	UT 10-
3047073	UT 16-
3047086	UT 10-ST
3047099	UT 16-ST
3047109	UT 2,5/4 3047109 5
3047112	UT 10 3047112 50
3047125	UT 16 3047125 50
3047138	UT 35 3047138 50
3047141	UT 2,5/4-TWIN 3047
3047167	UT 3047167 50
3047170	UT 2,5/4-QUATTRO 3
3047183	
3047196	
3047206	UT 16 3047206 50
3047251	UT 10-
3047264	UT 10-ST
3047277	UT 35-
3047280	UT 35-ST
3047293	UTTB 2,5/4 3047293 5
3047303	UTTB 2,5/4 3047303 5
3047316	UTTB 2,5/4 3047316 5
3047332	UT 4 3047332 10 WS
3047345	UT 4 3047332 10 WS
3047358	UT 3047358 50
3047361	UT 4 3047332 10 WS
3047374	UT 16 3047374 10
3047387	UT 35 3047387 10
3047426	
3047491	
3047923	UT 2,5 3047923 10
3048085	
3048098	
3048357	
3048409	UK 10,3-HESI N 3PO
3048412	
3048532	UK 10,3-HESI N 2PO
3048564	
3048577	
3048852	UT 4-QUATTRO HV 30
3056608	
3057429	
3057445	
3057458	
3057461	
3057665	
3058017	
3058020	
3058046	
3058059	
3058062	
3058114	
3058127	
3058130	
3058143	
3058156	
3058169	
3058172	
3058237	
3058240	
3058253	
3058334	
3059113	
3059126	
3059139	
3059171	
3059184	
3059197	
3059207	
3059210	
3059223	
3059236	
3059249	
3059252	
3059346	
3059647	
3059650	
3059663	
3059919	
3060115	
3060128	
3060131	
3060144	
3060157	
3060160	
3060173	
